date,city_code,store,daily_revenue,checks,avg_check,traffic,conversion,gross_profit,margin_pct,sbp_share,mtd_revenue,mtd_traffic,mtd_conversion,mtd_avg_check,mtd_margin_pct,acc_share,svc_share,sp_share,month_plan,month_fact,month_forecast,forecast_pct
2026-04-13,СОЧ,RSTR_СОЧ_МОРЕМОЛЛ,162182,9,18020.22,150,0.06,36873.90749,0.3392625243093584,0.26404679215798556,3620396,3100,0.06419354838709677,18102.11,0.20133159209545757,0.10286264656116582,0.019933623450857593,0.02194147682174631,13200000,3620146,8354183.076923077,0.6328926573426573
2026-04-13,СПБ,RSTR_СПБ_ГАЛЕРЕЯ,1218471,34,35837.38,542,0.06273062730627306,145841.290228,0.1293867013338795,0.3370952248487408,5977319,5195,0.03272377285851781,35181.88,0.13182759473706495,0.08708777464304314,0.034154174949424266,0.02322009109941036,25600000,5977069,13793236.923076924,0.5387983173076923
2026-04-13,СПБ,RSTR_СПБ_ЕВРОПОЛИС,823685,29,28402.93,430,0.06744186046511629,93977.34736600002,0.127859531636108,0.43474529780564266,5195341,4408,0.041515426497277674,28483.24,0.1450801187726133,0.11062367935722203,0.03266917492915162,0.02433257893698173,18700000,5195091,11988710.76923077,0.6411075277663513
2026-04-13,ТМК,RSTR_ТМК_ИЗУМРУДНЫЙ_ГОРОД,402483,16,25155.19,149,0.10738255033557047,95907.13038799999,0.35087056698498115,0.24705405405405406,3160844,2058,0.061855670103092786,24888.46,0.21348498136417944,0.07675500226863635,0.02849462243877928,0.017727197628830198,10090000,3160594,7293678.461538461,0.7228620873675383
2026-04-13,ТМН,RSTR_ТМН_КРИСТАЛЛ,277039,15,18469.27,310,0.04838709677419355,62043.064111,0.33003050952288445,0.34717668782773217,3728482,3644,0.055159165751920965,18587.27,0.20951040241366597,0.10099763058169539,0.022855665548765284,0.01978751306171875,11800000,3728232,8603612.307692308,0.7281196870925685
2026-04-13,УФА,RSTR_УФА_ПЛАНЕТА,155403,10,15540.3,274,0.0364963503649635,22304.927542,0.2053550083666598,0.16651418118270427,2710815,3620,0.04861878453038674,15384.22,0.1772933474164129,0.07339911246573428,0.013575860765668681,0.031106848959907103,12200000,2710565,6255150.0,0.5127172131147541
2026-04-13,ХБР,RSTR_ХБР_БРОСКО_МОЛЛ,300822,12,25068.5,238,0.05042016806722689,65301.18889099999,0.3003686192704057,0.34742109059322866,3039237,3017,0.040437520716274445,24932.02,0.22290967566916184,0.1608730369191109,0.006628537191442443,0.009850161068986343,12200000,3038987,7013046.923076923,0.5748399117276166
2026-04-14,МСК,RSMX_МСК_АВЕНЮ_ЮГО-ЗАПАДНАЯ,534925,20,26746.25,208,0.09615384615384616,84527.818049,0.1883271718018564,0.32305238206005044,4795640,3917,0.04748532039826416,25715.55,0.20572509030424533,0.17318885892051404,0.01728975887188988,0.005493448448454023,15160000,4795390,9589080.0,0.6325250659630607
2026-04-14,МСК,RSMX_МСК_КОЛУМБУС,661556,14,47254.0,289,0.04844290657439446,80750.41635499999,0.10872182068860648,0.5453921762015846,13826217,5867,0.04925856485341742,46553.5,0.17478185286313456,0.1209244366656198,0.014334694340639365,0.024976207418119587,32990000,13825967,27651934.615384616,0.8387982608488819
2026-04-14,ВВК,RSTR_ВВК_КАЛИНА_МОЛЛ,444804,17,26164.94,164,0.10365853658536585,78068.366657,0.20616627400493572,0.20173111600472294,5619102,3314,0.05039287869643935,33627.82,0.22234116204101313,0.14803374176630027,0.0240124665504814,0.029668794951646756,16610000,5618852,11237685.384615384,0.6765614319455373
2026-04-14,ВНЖ,RSTR_ВНЖ_ГАЛЕРЕЯ_ЧИЖОВА,611540,17,35972.94,168,0.10119047619047619,102099.92920600001,0.21033732799448722,0.33824640926241396,4680625,168,0.05011904761904762,35653.54,0.2242614676068375,0.11842178086093555,0.02636864846717357,0.027192364390633734,11270000,4680375,9360750.0,0.8305909494223593
2026-04-14,ЕБГ,RSTR_ЕБГ_ВЕЕР_МОЛЛ,200590,8,25073.75,152,0.05263157894736842,30790.625267000004,0.16454357635915958,0.49257997762877454,4350763,2641,0.021204089360090874,77380.25,0.21865013081600595,0.028383888757362404,0.00818223976620407,0.021611841803055443,10090000,4350513,8463100.384615384,0.8387611887626744
2026-04-14,ЕБГ,RSTR_ЕБГ_ГРИНВИЧ,239430,10,23943.0,364,0.027472527472527472,44977.43541599999,0.23311636432062756,0.12465829782670447,3919600,4596,0.03220214795474326,22998.83,0.1684987308781722,0.11118175339459113,0.04390958261044477,0.024691361363404723,12570000,3919350,7807950.0,0.6211575186953063
2026-04-14,ИРК,RSTR_ИРК_СИЛЬВЕР_МОЛЛ,441532,18,24529.56,185,0.0972972972972973,41723.34538100001,0.11162087169291557,0.48735955056179773,1211991,2096,0.02385496183206107,24337.17,0.10852054195466004,0.010995116218974563,0.025524600971879037,0.07602132560295074,5000000,1211741,2609351.5384615385,0.5218703076923076
2026-04-14,КДР,RSTR_КДР_ГАЛЕРЕЯ_КРАСНОДАР,711949,22,32361.32,253,0.08695652173913043,72289.87256899998,0.08729334694836714,0.3482890365448505,4564653,3874,0.046721734641197724,25204.1,0.1597633836266151,0.14058330775112744,0.01919021963420779,0.00963393077780904,14150000,4564403,8723091.923076924,0.6164736344923629
2026-04-14,КЗН,RSTR_КЗН_KAZANMALL,463613,16,28975.81,279,0.05734767025089606,65345.53023399999,0.1410541888703461,0.23295454545454544,5121931,3449,0.05218886923746014,26516.72,0.189896502771787,0.11222399335545862,0.022489830235240705,0.018196611325764505,17010000,5121681,10526653.846153846,0.6188514894858239
2026-04-14,КМР,RSTR_КМР_НОВЫЙ,412772,24,17198.83,260,0.09230769230769231,67534.65322500001,0.20637349580337794,0.492926734301624,3361109,3461,0.0514302224790523,18834.32,0.19879576207908136,0.08375876230315266,0.0021632039548098414,0.008292337432624905,10080000,3360859,6721718.461538462,0.6668368513427026
2026-04-14,КСК,RSTR_КСК_ПЛАНЕТА,635960,30,21198.67,313,0.09584664536741214,83183.38765599999,0.125080372698238,0.32108698579031267,7570992,4827,0.0834887093432774,18754.86,0.1811346197958675,0.18226722742856757,0.023858281914823296,0.017762240612379856,19000000,7570742,15066811.153846154,0.7930953238866396
2026-04-14,КСК,RSTR_КСК_ПЛАНЕТА_CARE,18061,1,18061.0,0,0.0,8242.495465,0.5069258058553327,0.0,303375,0,-11.944444444444445,17845.59,0.3059115584109551,0.0030568446555977714,0.0,0.3073090276411707,900000,303125,699519.2307692308,0.7772435897435897
